| Model                                                             | Status   |
|:------------------------------------------------------------------|:---------|
| smallcloudai/Refact-1_6B-fim                                      | ❌ FAIL   |
| shauray/Llava-Llama-2-7B-hf                                       | ❌ FAIL   |
| infCapital/llama2-7b-chatvi                                       | ❌ FAIL   |
| TheBloke/Mistral-7B-Instruct-v0.1-GGUF                            | ❌ FAIL   |
| TheBloke/Mistral-7B-v0.1-GGUF                                     | ❌ FAIL   |
| TheBloke/Mistral-7B-v0.1-AWQ                                      | ❌ FAIL   |
| mistralai/Mistral-7B-v0.1                                         | ❌ FAIL   |
| mistralai/Mistral-7B-Instruct-v0.1                                | ❌ FAIL   |
| facebook/mbart-large-50-many-to-many-mmt                          | ❌ FAIL   |
| ArnaudHureaux/Llama-2-70b-chat-hf-miniguanaco                     | ❌ FAIL   |
| Faradaylab/ARIA-70B-V2                                            | ❌ FAIL   |
| willyninja30/ARIA-70B-French                                      | ❌ FAIL   |
| CyberPeace-Institute/Cybersecurity-Knowledge-Graph                | ❌ FAIL   |
| sjrhuschlee/flan-t5-large-squad2                                  | ❌ FAIL   |
| vietgpt/dama-2-7b-chat                                            | ❌ FAIL   |
| HuggingFaceM4/idefics-80b-instruct                                | ❌ FAIL   |
| HuggingFaceM4/idefics-9b-instruct                                 | ❌ FAIL   |
| HuggingFaceM4/idefics-80b                                         | ❌ FAIL   |
| HuggingFaceM4/idefics-9b                                          | ❌ FAIL   |
| pipyp/qwenchatreup                                                | ❌ FAIL   |
| Qwen/Qwen-7B-Chat-Int4                                            | ❌ FAIL   |
| Qwen/Qwen-7B-Chat                                                 | ❌ FAIL   |
| Qwen/Qwen-7B                                                      | ❌ FAIL   |
| Qwen/Qwen-14B-Chat-Int4                                           | ❌ FAIL   |
| Qwen/Qwen-14B-Chat                                                | ❌ FAIL   |
| Qwen/Qwen-14B                                                     | ❌ FAIL   |
| infCapital/llama2-7b-chat                                         | ❌ FAIL   |
| xkianteb/kl_0.1_expert                                            | ❌ FAIL   |
| pfnet/plamo-13b                                                   | ❌ FAIL   |
| kyujinpy/CoT-llama-2k-7b                                          | ❌ FAIL   |
| kyujinpy/KO-Platypus2-7B-ex                                       | ❌ FAIL   |
| 42MARU/polyglot-ko-12.8b-instruct                                 | ❌ FAIL   |
| microsoft/phi-1                                                   | ❌ FAIL   |
| microsoft/phi-1_5                                                 | ❌ FAIL   |
| kittn/mistral-7B-v0.1-hf                                          | ❌ FAIL   |
| Trelis/Llama-2-13b-chat-hf-touch-rugby-rules                      | ❌ FAIL   |
| TheBloke/Falcon-180B-GPTQ                                         | ❌ FAIL   |
| TheBloke/Baichuan2-13B-Chat-GPTQ                                  | ❌ FAIL   |
| TheBloke/Falcon-180B-Chat-GPTQ                                    | ❌ FAIL   |
| TheBloke/fiction.live-Kimiko-V2-70B-fp16                          | ❌ FAIL   |
| TheBloke/Kimiko-v2-13B-fp16                                       | ❌ FAIL   |
| TheBloke/Marx-3b-GPTQ                                             | ❌ FAIL   |
| TheBloke/scarlett-33B-GPTQ                                        | ❌ FAIL   |
| TheBloke/OpenAssistant-Llama2-13B-Orca-v2-8K-3166-GPTQ            | ❌ FAIL   |
| TheBloke/airoboros-33B-GPT4-m2.0-GPTQ                             | ❌ FAIL   |
| TheBloke/OpenChat_v3.2-GPTQ                                       | ❌ FAIL   |
| TheBloke/Kimiko-13B-fp16                                          | ❌ FAIL   |
| TheBloke/Llama-2-70B-Chat-GGML                                    | ❌ FAIL   |
| TheBloke/Llama-2-13B-chat-GGML                                    | ❌ FAIL   |
| TheBloke/Llama-2-7B-Chat-GGML                                     | ❌ FAIL   |
| TheBloke/Llama-2-7B-GGML                                          | ❌ FAIL   |
| TheBloke/Llama-2-13B-GGML                                         | ❌ FAIL   |
| TheBloke/storytime-13B-GPTQ                                       | ❌ FAIL   |
| TheBloke/airoboros-l2-13B-2.2.1-GPTQ                              | ❌ FAIL   |
| TheBloke/Airoboros-L2-70b-2.2.1-AWQ                               | ❌ FAIL   |
| TheBloke/Xwin-LM-70B-V0.1-AWQ                                     | ❌ FAIL   |
| TheBloke/Xwin-LM-70B-V0.1-GPTQ                                    | ❌ FAIL   |
| TheBloke/Xwin-LM-7B-V0.1-GPTQ                                     | ❌ FAIL   |
| TheBloke/Xwin-LM-13B-V0.1-AWQ                                     | ❌ FAIL   |
| TheBloke/Xwin-LM-13B-V0.1-GPTQ                                    | ❌ FAIL   |
| TheBloke/FashionGPT-70B-V1.1-GPTQ                                 | ❌ FAIL   |
| TheBloke/Upstage-Llama-2-70B-instruct-v2-AWQ                      | ❌ FAIL   |
| TheBloke/OpenAssistant-Llama2-13B-Orca-8K-3319-AWQ                | ❌ FAIL   |
| TheBloke/OpenBuddy-Llama2-13B-v11.1-AWQ                           | ❌ FAIL   |
| TheBloke/llama-2-70b-Guanaco-QLoRA-AWQ                            | ❌ FAIL   |
| TheBloke/WizardLM-70B-V1.0-AWQ                                    | ❌ FAIL   |
| TheBloke/WizardLM-13B-V1.2-AWQ                                    | ❌ FAIL   |
| TheBloke/CodeLlama-34B-AWQ                                        | ❌ FAIL   |
| TheBloke/Llama-2-70B-AWQ                                          | ❌ FAIL   |
| TheBloke/Llama-2-70B-chat-AWQ                                     | ❌ FAIL   |
| TheBloke/Llama-2-13B-chat-AWQ                                     | ❌ FAIL   |
| TheBloke/Llama-2-13B-AWQ                                          | ❌ FAIL   |
| TheBloke/Llama-2-7B-AWQ                                           | ❌ FAIL   |
| TheBloke/Llama-2-7b-Chat-AWQ                                      | ❌ FAIL   |
| TheBloke/WizardCoder-Python-7B-V1.0-GPTQ                          | ❌ FAIL   |
| TheBloke/MLewd-L2-Chat-13B-GPTQ                                   | ❌ FAIL   |
| TheBloke/Synthia-34B-v1.2-GPTQ                                    | ❌ FAIL   |
| TheBloke/Chinese-Llama-2-7B-GPTQ                                  | ❌ FAIL   |
| TheBloke/Chinese-Llama-2-13B-GPTQ                                 | ❌ FAIL   |
| TheBloke/Marcoroni-70B-GPTQ                                       | ❌ FAIL   |
| TheBloke/Llama-2-Coder-7B-GPTQ                                    | ❌ FAIL   |
| TheBloke/Llama2-Chat-AYT-13B-GPTQ                                 | ❌ FAIL   |
| TheBloke/Airoboros-L2-7B-2.2-GPTQ                                 | ❌ FAIL   |
| TheBloke/Airoboros-L2-13B-2.2-GPTQ                                | ❌ FAIL   |
| TheBloke/Spicyboros-70B-2.2-GPTQ                                  | ❌ FAIL   |
| TheBloke/ORCA_LLaMA_70B_QLoRA-GPTQ                                | ❌ FAIL   |
| TheBloke/Spicyboros-7B-2.2-GPTQ                                   | ❌ FAIL   |
| TheBloke/Synthia-70B-v1.2-GPTQ                                    | ❌ FAIL   |
| TheBloke/Upstage-Llama-2-70B-instruct-v2-GGUF                     | ❌ FAIL   |
| TheBloke/Chronos-70B-v2-GPTQ                                      | ❌ FAIL   |
| TheBloke/Mythalion-13B-GGUF                                       | ❌ FAIL   |
| TheBloke/Mythalion-13B-GPTQ                                       | ❌ FAIL   |
